dia,hora,pct_inbound,pct_storing,pct_outbound
sabado,00:00:00,0.08,0.01,0.01
sabado,01:00:00,0.04,0.04,0.04
sabado,02:00:00,0.04,0.03,0.04
sabado,03:00:00,0.08,0.04,0.04
sabado,04:00:00,0.1,0.03,0.03
sabado,05:00:00,0.06,0.0,0.0
sabado,06:00:00,0.02,0.01,0.01
sabado,07:00:00,0.03,0.02,0.02
sabado,08:00:00,0.03,0.03,0.03
sabado,09:00:00,0.02,0.03,0.03
sabado,10:00:00,0.01,0.02,0.02
sabado,11:00:00,0.03,0.03,0.03
sabado,12:00:00,0.07,0.03,0.03
sabado,13:00:00,0.03,0.03,0.03
sabado,14:00:00,0.04,0.03,0.03
sabado,15:00:00,0.02,0.05,0.05
sabado,16:00:00,0.05,0.06,0.06
sabado,17:00:00,0.05,0.08,0.08
sabado,18:00:00,0.06,0.09,0.09
sabado,19:00:00,0.06,0.09,0.09
sabado,20:00:00,0.03,0.1,0.1
sabado,21:00:00,0.02,0.08,0.08
sabado,22:00:00,0.01,0.07,0.07
sabado,23:00:00,0.01,0.0,0.0
